_id,product_name,current_url,view_click,alloy,stone
108702,link 404,"https://www.glamira.rs/county/recommendation/list/id/108702/alloy/white-585/diamond/aquamarine-cabochon/stone2/diamond-swarovsky/price/26,858.00?product_id=108702",64,,
97458,Women's Bracelet Adalia,https://www.glamira.ie/glamira-bracelet-adalia.html?fbclid=IwAR2_OH-uzNVeDaYhM0OuJO3zKNCmN4YBJ-U1oXo99YHRFnosn4aIl4HTq5Y&product_id=97458,1870,,
103526,Glamira Prstan Carin,https://www.glamira.si/glamira-ring-carin.html?fbclid=IwAR1vK0-VDgq6LUvb11pG7X5dzJoSTmcnKoOPukIy8r2r9gi00iFETd5p8jo&product_id=103526,368,,
102546,link 404,https://www.glamira.sk/chain-figaro-40-micron.html?fbclid=IwAR1sUnUCPbpcwxyGNDAY5r5ko3858a96R2MfM_2naVQymuhU6UTSJ2pPW18&product_id=102546,627,,
89455,GLAMIRA Ringer Antonia,https://www.glamira.no/glamira-ringer-antonia.html?product_id=89455,3311,,
101878,Glamira Prstan Meirona,https://www.glamira.si/glamira-prstan-meirona.html?fbclid=IwAR33Tx1Z33YhDg5YpGNTCSbFygn1HJkUB_wcxdrp62a2H6uyEsjRR3seU10&product_id=101878,374,,
98554,GLAMIRA Za Nos Brnjica Melania,https://www.glamira.hr/glamira-nose-pin-melania.html?fbclid=IwAR0ezKoymK78aYugftoiqwSh8qB95hve4ySTgRN8ZM9qIQXAdJ6HLoALyVs&product_id=98554,71,,
110602,GLAMIRA Ring Annabella,https://www.glamira.dk/glamira-ring-annabella.html?fbclid=IwAR10bIET3v8x9SzJTMV8p6H4oEaZZ3G9hJxLRd2p1OXLUh29v8uisEIK_Tk&product_id=110602,3017,,
95232,Engagement Ring Kylie 3.0 crt,https://www.glamira.co.za/glamira-ring-kylie-3.0-crt.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR1lqHtPoIGNu0tdwBj3QMXhbfjIetD2vDd2SKjpEESbRkvWvQiedFXEqBQ&product_id=95232,1126,,
110040,Women's Pendant Shelia,https://www.glamira.co.uk/glamira-pendant-shelia.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0Bq2usQYgDERNb69qeNQbwqA_rThmE_cNXexHGKTZf9SCLJ1gVVITl1dk&product_id=110040,726,,
102749,Pendentif pour femme Kalvary Ø6 mm,https://www.glamira.fr/glamira-pendentif-kalvary-o6-mm.html?product_id=102749,586,,
84879,Eljegyzési gyűrű Amalia,https://www.glamira.hu/glamira-gyuru-amalia.html?product_id=84879,1721,,
91142,Engagement Ring Shamina 0.25 crt,https://www.glamira.co.uk/glamira-ring-shamina-0.25-crt.html?fbclid=IwAR0mo6mtkvAnLaSjl9m1R4tvgYvZ2yupSm2UjxkWavrDPL4DTQ7drdB7vM4&product_id=91142,1093,,
90901,Engagement Ring Ruby 0.25 crt,https://www.glamira.co.uk/glamira-ring-ruby-0.25-crt.html?product_id=90901,2205,,
100546,GLAMIRA Cufflink Euclid,https://www.glamira.com/glamira-cufflink-euclid.html?product_id=100546,81,,
97562,GLAMIRA Coffee Pendant Amarula,https://www.glamira.ca/glamira-coffee-pendant-amarula.html?itm_source=recommendation&itm_medium=detail&fbclid=IwAR0SRlYPRpnzUOF48jnQ0llth9WKGEgVGbClSMIfKjgXY2XKywQQx-Wxqso&product_id=97562,181,,
92201,Engagement Ring Genifer 0.5 crt,https://www.glamira.com.au/glamira-ring-genifer-0.5-crt.html?itm_source=recommendation&itm_medium=detail&fbclid=IwAR1s1ifF6dRYs4kpesMmUoHGPrsdPerBLtC49OAnmHDsgpFWJ1-5srF4ldY&product_id=92201,1462,,
99960,Butoni Radburt,https://www.glamira.ro/glamira-cufflink-radburt.html?fbclid=IwAR0o_IgRfvGosQWbDIGneVUG62kIVwZkppXtkwECcok_wGJtBTiQ6p29oXk&product_id=99960,231,,
102699,Дамска обица Karinita Ø6 mm,https://www.glamira.bg/glamira-earring-karinita-6-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2VAaW3ooCDa5t98cYtknKxCqukenVAL5JYiI_iYSD70JRDOQ0wD8EV7os&product_id=102699,216,,
100863,Barn Hänge Risco,https://www.glamira.se/glamira-barn-hange-risco.html?product_id=100863,19,,
89444,GLAMIRA Žiedas Wendy,https://www.glamira.lt/glamira-ring-wendy.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2R6odRaMbaiQrll9zHJPOTSPxFzAYH99WGLIFaiWjg-F9MnwOzcsb1rqk&product_id=89444,1252,,
90189,Glamira Initials Bague C,https://www.glamira.fr/glamira-initials-bague-c.html?product_id=90189,203,,
97689,GLAMIRA Pendentif Nafpaktos,https://www.glamira.fr/glamira-pendentif-nafpaktos.html?product_id=97689,111,,
102701,Dámsky náušnice Kanupriya Ø6 mm,https://www.glamira.sk/glamira-earring-kanupriya-6-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR1S3k8GWhhkJFyDSPmZjLRhy9KVK1FN3VW0K4oZ2anTJ8GHQ9ljH5OncNg&product_id=102701,132,,
